39,57,297,75,60,W+A
39,61,297,74,60,W+A
39,67,243,68,58,W+A
41,62,203,66,56,W+A
43,65,159,62,57,W+A
45,63,127,58,54,W+A
49,77,104,54,54,W+A
51,93,87,52,52,W+A
55,113,73,48,52,W
55,119,69,46,50,W
53,133,62,43,46,D
51,111,69,44,44,D
57,99,79,44,44,D
57,89,91,40,44,D
55,79,109,36,42,D
55,73,136,34,42,D
55,69,177,36,42,D
55,63,221,37,42,D
55,59,297,38,42,D
54,57,298,40,42,D
55,53,297,42,42,W
53,53,297,43,42,W
53,53,297,43,30,W
45,50,297,46,32,W
39,50,297,46,32,W
37,49,297,48,32,W
37,49,297,48,34,W
35,47,297,50,34,W
35,49,297,50,34,W
35,47,297,51,36,W
35,49,297,51,36,W
35,50,297,51,36,W
33,49,297,54,36,W
35,49,297,54,36,W
35,49,297,51,38,W
37,49,297,50,38,W
35,49,297,51,38,W
35,49,297,50,38,W
35,49,297,48,38,W
35,49,297,50,38,W
37,49,297,50,36,W
35,47,297,51,38,W
35,47,297,51,36,W
35,47,297,50,36,W
35,49,297,50,36,W
35,47,297,51,36,W
35,50,297,51,36,W
33,53,297,54,38,W
33,53,297,54,36,W
35,57,297,54,36,W
33,57,297,54,38,W
37,61,297,54,38,W
37,61,297,51,38,W
37,91,297,51,38,W+D
39,85,297,51,38,W+D
37,75,297,55,40,W+D
37,71,297,57,40,W+D
37,69,285,63,40,W+D
40,64,237,67,41,W+D
37,61,199,69,42,W
35,63,193,68,44,W
37,65,187,71,45,W
35,63,181,68,44,W
33,63,179,63,45,W
37,61,173,69,48,W
37,61,167,69,49,W
39,59,161,73,49,W
42,56,157,80,49,W
44,56,153,80,49,W
45,55,147,81,48,W
47,55,143,81,49,W
44,53,137,81,52,W
44,51,131,87,48,W
44,51,129,89,48,W
42,49,123,93,48,W
42,45,117,99,49,W
39,43,111,104,52,W
39,41,106,109,54,W
39,41,103,111,56,W
37,39,97,115,56,W
35,37,93,121,58,W
33,33,87,126,58,W
33,33,83,127,58,W+A
29,31,91,119,58,W+A
28,31,105,111,58,W+A
27,31,125,104,58,W+A
25,30,159,98,58,W+A
25,31,229,94,60,W
23,29,221,94,60,W
23,29,211,95,62,W
21,27,201,98,62,W
21,25,191,99,64,W
19,25,181,102,64,W
19,23,173,102,66,W+A
19,25,217,96,66,W+A
18,25,248,92,66,W+A
19,26,253,87,66,W+A
19,31,269,81,64,W+A
19,33,277,78,64,W+A
21,36,285,74,64,W+A
23,43,297,70,64,W+A
25,51,297,67,64,W
27,55,297,64,61,W
27,57,297,64,61,W
29,61,297,62,58,W
31,63,297,60,56,W
33,69,297,58,54,W
35,72,297,55,52,W
35,75,297,54,52,W
37,79,297,52,50,W
39,81,297,52,48,W
40,85,297,50,46,W
43,89,297,47,46,W
45,90,297,45,44,W
45,93,297,44,42,W
47,95,297,42,41,W
49,97,297,42,38,W
51,99,295,40,37,W
53,101,291,36,34,W
53,101,286,36,34,W
55,103,282,34,32,W
57,103,275,32,30,W
59,105,271,29,28,W
59,107,265,29,28,W
62,110,261,26,26,W
62,107,255,26,24,W
65,105,251,24,22,W
65,103,245,21,21,W
67,103,241,20,18,W
69,99,235,18,16,W
69,97,231,16,16,W
71,93,225,14,14,W
71,90,221,14,12,W
71,89,215,12,10,W
71,85,211,21,10,W
73,85,205,26,10,W
73,83,202,32,12,W
75,81,195,54,14,W
75,77,191,70,18,W+A
76,77,199,66,20,W+A
75,75,203,63,21,W+A
71,73,203,58,22,W+A
69,71,203,56,22,W+A
67,71,205,54,25,W+A
67,71,208,50,27,W+A
65,77,211,50,28,W
65,77,206,50,30,W
63,79,201,52,30,W
61,81,196,52,32,W
59,81,191,52,34,W
59,85,188,48,34,W
57,87,181,48,34,W
55,87,178,46,34,W
52,89,171,46,36,W
52,91,166,46,36,W
52,91,161,44,38,W
52,89,156,42,36,W
55,91,152,42,34,W
57,91,145,40,34,W
57,91,142,38,34,W
57,91,137,38,32,W
59,89,132,36,32,W
59,87,127,36,30,W
61,87,121,34,30,W
61,85,116,34,28,W
63,83,112,32,27,W
63,81,105,134,27,W
65,77,102,132,27,W
65,75,98,128,24,W
65,71,91,126,24,W
65,67,88,122,24,W
65,63,81,118,38,A
65,63,85,118,36,A
65,64,89,118,31,W+A
65,61,89,116,36,W+A
63,57,88,112,41,W+A
61,53,86,108,44,W+A
60,53,86,106,44,W+A
55,49,82,102,46,A
53,51,88,103,44,A
53,51,96,105,44,A
51,53,104,108,43,A
51,54,102,110,42,A
49,55,102,114,42,A
49,57,100,117,41,A
49,60,100,121,40,W
47,60,94,115,42,W
47,60,90,108,42,W
47,57,84,102,42,W
45,55,78,96,42,W
45,53,74,93,298,W
45,52,70,86,298,A
45,53,70,88,298,A
45,54,70,92,298,A
44,54,70,98,42,A
45,55,70,102,44,A
45,58,70,110,44,A
45,60,70,116,44,A
45,66,70,126,44,A
45,70,72,138,46,A
47,78,72,150,46,W
47,72,68,140,46,W
49,65,62,129,41,W
49,60,56,118,50,W
49,55,52,109,61,W
47,50,48,98,78,W
49,44,42,86,94,W
47,40,37,76,112,A
