46,65,298,94,76,840.0,920.0,0,0.9999999998,0.0
46,67,298,92,72,865.0,920.0,0,0.9999999998,0.0
46,67,298,88,68,890.0,920.0,0,0.9999999998,0.0
48,69,298,88,66,915.0,920.0,0,0.9999999998,0.0
48,69,298,84,64,940.0,920.0,0,0.9999999998,0.0
50,70,298,84,62,965.0,920.0,0,0.9999999998,0.0
50,70,298,81,62,990.0,920.0,0,0.9999999998,0.0
50,73,298,79,60,1015.0,920.0,0,0.9999999998,0.0
50,73,298,78,58,1040.0,920.0,0,0.9999999998,0.0
52,73,298,78,58,1065.0,920.0,0,0.9999999998,0.0
52,73,298,78,58,1090.0,920.0,0,0.9999619420614736,-0.00872432013698045
52,73,298,79,56,1115.0,920.0,0,0.9969173327358684,-0.07845909564936554
53,79,297,75,56,1119.993147673773,919.7383202187852,3,0.9914448603820254,-0.13052619208948232
53,85,297,71,56,1124.9657571506143,919.2156779024469,6,0.9832549065803623,-0.1822355253098509
55,91,297,68,54,1129.90419885359,918.4335055772458,9,0.9723699194249721,-0.23344536362238485
57,101,297,63,54,1134.794936857259,917.393947123157,12,0.9659258259670923,-0.2588190450162504
57,111,297,62,54,1139.6245659887043,916.0998518976444,15,0.9659258260958824,-0.25881904505075964
65,125,297,52,46,1163.7727116459305,909.6293757700814,15,0.9659258260958824,-0.25881904505075964
71,135,297,48,42,1187.9208573031567,903.1588996425185,15,0.9659258260958824,-0.25881904505075964
79,141,297,42,36,1212.069002960383,896.6884235149555,15,0.9678342216851858,-0.2515887890258747
85,147,297,38,32,1236.2171486176092,890.2179473873925,15,0.9781476000811105,-0.20791169067902632
87,141,297,37,28,1245.9375157527234,887.8842937077911,12,0.9914448603820254,-0.13052619208948232
86,133,297,40,30,1250.875957455699,887.10212138259,9,0.9969173327358684,-0.07845909564936554
87,125,297,42,30,1255.8485669325405,886.5794790662517,6,0.9996573239755571,-0.026176948281690447
87,119,297,46,30,1260.8417146063134,886.3177992850369,3,0.9996573239755571,0.026176948281690447
86,113,298,51,32,1265.8417146063134,886.3177992850369,0,0.998629534421697,0.05233595622550473
87,107,285,60,32,1270.8348622800863,886.5794790662517,-3,0.9986295345548477,0.052335956232482855
85,103,261,89,38,1295.8006006489509,887.8878779723254,-3,0.9986295345548477,0.052335956232482855
81,95,233,159,46,1320.7663390178154,889.1962768783992,-3,0.9989505912200796,0.045800827514122705
77,89,211,298,58,1345.73207738668,890.504675784473,-3,0.9999142389183681,0.01309632801046942
74,84,212,297,66,1360.7183727342258,891.0280353469025,0,0.9969173327358684,-0.07845909564936554
73,89,231,232,64,1365.7115204079987,890.7663555656877,3,0.9914448603820254,-0.13052619208948232
71,91,243,182,66,1370.68412988484,890.2437132493494,6,0.9832549065803623,-0.1822355253098509
71,93,263,156,64,1375.6225715878159,889.4615409241483,9,0.9723699194249721,-0.23344536362238485
71,95,283,142,66,1380.5133095914848,888.4219824700594,12,0.9588197339090434,-0.28401534441981413
