39,57,297,75,60,W+A
39,61,297,74,60,W+A
39,67,243,68,58,A
39,69,207,66,60,A
41,67,167,64,60,A
40,71,140,62,61,A
41,73,120,62,62,A
43,71,105,60,64,W
45,75,102,58,62,W
47,81,95,56,60,W
49,87,92,54,56,W
51,93,87,52,52,W
53,97,81,49,50,W
55,103,77,48,48,W
59,109,71,44,47,W
53,115,68,42,44,W
55,119,61,38,42,W
51,129,57,26,40,W+D
51,115,60,23,36,W+D
51,107,61,21,34,W+D
51,99,69,22,32,W+D
53,93,82,21,18,W+D
53,88,103,20,18,W+D
53,83,137,22,18,W+D
53,79,191,22,16,W+D
54,74,288,21,16,W+D
53,69,297,24,18,W
51,69,297,26,18,W
51,72,297,26,18,W
51,71,297,27,20,W
51,72,297,27,20,W
49,71,297,30,20,W
51,71,293,30,20,W
49,69,291,30,22,W+D
49,66,297,31,22,W+D
49,63,297,36,22,W+D
49,59,297,37,24,W+D
49,57,297,43,24,W+D
49,53,297,49,28,W
47,51,297,49,28,W
47,49,297,51,30,W
45,51,295,54,30,W
43,49,289,57,32,W
43,46,285,59,32,W
40,44,279,64,34,W
37,43,271,67,36,W
37,41,269,69,36,W
36,39,263,73,36,W
36,39,259,75,38,W
33,35,253,80,40,W
33,35,249,82,40,W
31,33,243,85,43,W
29,31,239,85,43,W
27,29,233,89,46,W
27,29,229,89,46,W
25,26,223,89,48,W
23,25,217,93,50,W+A
21,27,255,87,50,W+A
21,27,297,81,51,W+A
19,30,297,78,52,W+A
23,37,297,71,52,W+A
23,37,297,67,52,W+A
26,43,298,64,52,W+A
25,83,297,62,52,W+A
29,93,174,58,52,W
29,98,163,58,50,W
33,101,163,53,50,W
33,105,153,52,50,W
41,106,143,52,46,W
45,106,143,49,46,W
51,109,133,48,42,W
59,109,125,45,42,W
61,109,125,44,42,W
63,111,115,40,38,W
65,113,105,34,36,W
67,113,105,34,36,W+D
67,107,211,34,34,W+D
66,101,298,27,32,W+D
67,95,297,30,28,W+D
67,91,297,27,26,W+D
67,87,297,31,22,W
67,85,297,33,22,W
67,85,297,36,24,W
67,83,297,36,22,W
67,83,297,33,22,W
67,81,297,33,24,W
65,81,297,31,24,W
65,79,297,31,26,W
65,79,297,31,24,W
63,77,297,33,24,W
63,77,297,36,22,W
61,75,297,36,22,W
61,75,297,37,24,W
59,73,297,40,24,W
59,71,297,41,26,W
57,71,293,43,26,W
57,71,289,43,26,W
57,69,283,46,28,W
55,67,279,46,28,W
55,67,273,47,30,W
53,65,269,50,30,W
53,65,263,50,30,W+A
53,66,269,48,32,W+A
53,69,277,46,32,W+A
52,73,286,44,32,W+A
53,77,291,42,32,W+A
53,85,297,37,30,W
53,85,293,37,30,W
55,85,289,37,30,W
55,85,283,37,30,W
55,87,279,35,28,A
55,93,297,33,28,A
57,101,130,34,28,A
57,109,105,32,29,A
57,121,87,32,30,A
59,135,75,30,31,A
61,150,68,30,30,A
61,171,59,30,32,A
63,189,55,28,32,A
65,217,49,28,34,A
67,227,46,28,34,A
71,235,44,28,36,A
75,247,42,28,38,A
77,258,40,28,41,A
83,267,38,28,43,A
87,279,35,28,44,A
93,297,33,28,47,A
101,130,34,28,50,A
109,105,32,29,56,A
121,87,32,30,60,A
135,75,30,31,68,A
150,68,30,30,76,A
171,59,30,32,88,A
189,55,28,32,128,A
217,49,28,34,284,A
227,46,28,34,298,A
235,44,28,36,298,A
247,42,28,38,298,A
258,40,28,41,298,A
267,38,28,43,258,A
279,35,28,44,222,A
297,33,28,47,212,A
130,34,28,50,206,A
105,32,29,56,188,A
87,32,30,60,170,A
75,30,31,68,154,A
68,30,30,76,136,A
59,30,32,88,122,A
55,28,32,128,110,A
49,28,34,284,102,A
46,28,34,298,94,A
44,28,36,298,88,A
42,28,38,298,84,A
40,28,41,298,78,A
38,28,43,258,75,A
35,28,44,222,71,A
33,28,47,212,68,A
34,28,50,206,65,A
32,29,56,188,63,A
32,30,60,170,62,A
30,31,68,154,61,A
30,30,76,136,60,A
30,32,88,122,57,A
28,32,128,110,58,A
28,34,284,102,57,A
28,34,298,94,55,A
28,36,298,88,55,A
28,38,298,84,55,A
28,41,298,78,56,A
28,43,258,75,55,A
28,44,222,71,55,A
28,47,212,68,55,A
28,50,206,65,57,A
29,56,188,63,57,A
30,60,170,62,57,D
29,56,188,63,57,D
28,50,206,65,57,D
28,47,212,68,55,D
28,44,222,71,55,D
28,43,258,75,55,D
28,41,298,78,56,D
28,38,298,84,55,D
28,36,298,88,55,D
28,34,298,94,55,D
28,34,284,102,57,D
28,32,128,110,58,D
30,32,88,122,57,D
30,30,76,136,60,D
30,31,68,154,61,D
32,30,60,170,62,D
32,29,56,188,63,D
34,28,50,206,65,D
33,28,47,212,68,D
35,28,44,222,71,D
38,28,43,258,75,D
40,28,41,298,78,D
42,28,38,298,84,D
44,28,36,298,88,D
46,28,34,298,94,D
49,28,34,284,102,D
55,28,32,128,110,D
59,30,32,88,122,D
68,30,30,76,136,D
75,30,31,68,154,D
87,32,30,60,170,D
105,32,29,56,188,D
130,34,28,50,206,D
297,33,28,47,212,D
279,35,28,44,222,D
