32,53,298,81,60,0,0
32,53,298,81,60,0,1.5
31,53,297,80,60,0,1.5
31,55,297,77,60,0,1.5
31,57,297,75,60,0,1.5
31,59,297,74,60,0,1.5
31,61,297,72,60,0,1.5
37,63,255,72,60,0,1.5
37,65,236,69,62,0,1.5
37,67,217,68,62,0,1.5
39,71,193,67,62,0,1.5
39,73,174,66,62,0,1.5
39,77,159,66,62,0,1.5
39,81,145,64,64,0,1.5
39,79,136,63,64,0,0
39,79,136,63,64,5,0
41,75,129,61,62,5,0
43,79,123,60,60,5,0
45,75,117,58,58,5,0
47,69,113,56,56,5,0
49,75,107,54,54,5,-1.5
49,72,113,54,50,5,-1.5
50,73,118,51,49,5,-1.5
51,71,123,52,46,5,-1.5
53,71,133,52,46,5,-1.5
53,69,145,42,45,5,-1.5
53,69,159,36,42,5,-1.5
55,69,171,36,42,5,-1.5
55,67,183,35,40,5,-1.5
49,65,211,35,40,5,-1.5
49,65,255,36,28,5,-1.5
49,63,287,36,28,5,0
43,63,287,36,28,5,0
43,63,285,36,28,5,0
43,65,267,34,26,5,0
43,65,265,34,26,5,0
45,65,249,34,26,5,0
45,67,249,34,26,5,0
45,67,245,34,26,5,0
45,71,229,31,24,5,0
45,72,225,31,24,5,0
47,75,211,30,24,5,-1.5
47,72,237,32,24,5,-1.5
46,70,246,31,24,5,0
46,70,242,31,24,5,0
48,70,236,31,24,5,0
48,70,232,31,24,5,0
48,70,228,31,24,5,0
50,73,222,31,24,5,0
50,73,218,31,24,5,0
50,73,212,31,24,5,0
50,73,208,31,24,5,0
50,73,202,30,24,5,0
50,73,198,30,24,5,0
50,73,192,30,24,5,0
50,73,188,27,24,5,0
50,73,182,27,22,5,0
50,73,178,27,22,5,0
52,73,172,26,22,5,0
52,74,168,26,20,5,0
52,74,162,26,20,5,0
52,79,158,26,18,5,0
52,79,152,26,18,5,0
52,83,148,26,18,5,-1.5
53,81,155,25,18,5,-1.5
51,79,161,26,20,5,-1.5
51,77,297,28,20,5,-1.5
51,79,297,27,20,5,-1.5
51,75,297,29,20,5,-1.5
49,73,297,33,20,5,-1.5
50,71,297,35,22,5,-1.5
49,67,297,39,22,5,-1.5
49,65,297,43,24,5,-1.5
47,67,297,43,24,5,-1.5
46,63,297,47,27,5,-1.5
49,61,285,47,28,5,-1.5
48,59,257,51,30,5,-1.5
45,61,235,55,34,5,-1.5
47,61,215,61,34,5,-1.5
46,59,196,65,35,5,0
43,65,191,65,35,5,0
43,69,187,65,38,5,0
42,67,181,61,40,5,0
42,69,177,67,38,5,0
42,67,172,63,40,5,0
39,65,167,61,42,5,0
