32,53,298,81,60,0,0
32,53,298,81,60,5,0
38,53,298,81,60,5,0
38,53,298,81,58,5,0
38,53,298,78,58,5,0
38,53,298,70,58,5,0
38,53,298,64,58,5,0
38,45,298,64,58,5,0
38,43,298,64,58,5,0
38,36,298,64,58,5,0
38,33,298,64,58,5,0
38,33,298,64,46,5,1.5
31,35,297,61,46,5,1.5
31,35,297,60,46,5,1.5
25,36,297,58,46,5,1.5
25,39,283,56,44,5,1.5
25,41,267,56,44,5,1.5
27,45,231,52,44,5,1.5
27,47,193,50,42,5,1.5
29,51,169,48,42,5,0
29,53,163,48,41,5,0
31,54,159,46,41,5,0
31,59,153,46,38,5,0
33,60,149,43,38,5,0
33,67,145,42,36,5,0
35,67,139,42,36,5,0
35,71,136,39,34,5,0
37,75,125,37,32,5,-1.5
37,72,141,38,32,5,-1.5
39,71,154,38,32,5,-1.5
39,71,177,38,30,5,-1.5
41,69,191,37,30,5,-1.5
41,67,199,37,30,5,-1.5
41,65,219,38,30,5,-1.5
43,63,227,40,30,5,-1.5
44,63,234,40,30,5,-1.5
43,60,277,41,30,5,-1.5
43,61,297,39,30,5,0
45,61,297,39,30,5,0
43,61,297,42,30,5,0
43,61,297,39,30,5,0
43,59,297,39,32,5,0
43,59,297,38,30,5,0
43,59,297,38,28,5,0
43,57,297,39,30,5,0
43,59,297,39,28,5,0
43,57,297,39,28,5,0
43,61,297,39,28,5,0
43,65,297,39,28,5,0
41,65,297,42,30,5,0
41,69,297,42,30,5,0
43,69,297,42,28,5,0
43,72,297,42,28,5,0
41,71,297,42,30,5,0
45,101,297,42,30,5,0
45,104,297,42,30,5,0
43,103,297,42,30,5,0
47,107,297,42,30,5,0
49,109,297,36,30,5,0
49,109,297,38,32,5,0
49,111,297,38,30,5,0
51,111,297,33,30,5,0
51,113,297,33,30,5,0
55,111,297,36,28,5,0
59,111,297,33,28,5,0
63,111,297,33,28,5,-1.5
65,107,297,33,26,5,-3
67,103,297,32,26,5,-3
67,99,297,32,26,5,-3
70,93,297,31,26,5,0
70,93,297,33,26,5,0
72,91,297,29,26,5,0
70,89,297,27,26,5,0
70,87,297,29,22,5,0
70,87,297,27,24,5,0
70,85,297,29,20,5,0
70,85,297,31,20,5,0
70,83,295,35,22,5,0
70,80,291,35,20,5,0
70,79,287,35,22,5,0
70,79,283,33,22,5,0
67,77,279,33,24,5,0
67,77,275,33,24,5,0
65,73,265,37,26,5,0
63,73,261,39,26,5,0
63,71,257,41,24,5,0
61,71,252,43,24,5,0
61,69,249,46,24,5,0
59,69,245,46,26,0,0
59,69,245,46,26,0,3
59,71,283,43,26,0,3
59,73,297,39,26,0,3
59,77,297,37,26,0,3
59,79,297,36,26,0,3
59,85,297,33,26,0,3
59,89,297,32,26,0,3
59,95,183,32,26,0,3
58,102,131,29,26,0,3
59,111,104,30,26,0,3
61,121,85,28,28,0,3
61,135,71,28,28,0,0
61,135,71,28,28,0,-3
61,121,85,28,28,0,-3
59,111,104,30,26,0,-3
58,102,131,29,26,0,-3
59,95,183,32,26,0,-3
59,89,297,32,26,0,-3
59,85,297,33,26,0,-3
59,79,297,36,26,0,-3
59,77,297,37,26,0,-3
59,73,297,39,26,0,-3
59,71,283,43,26,0,-3
59,69,245,46,26,0,-3
61,65,205,51,25,0,0
61,65,205,51,25,5,0
59,63,197,55,27,5,0
57,63,193,57,30,5,0
55,61,187,61,32,5,0
55,59,183,64,32,5,0
53,56,177,67,34,5,0
51,55,173,69,36,5,0
51,55,168,72,36,5,0
48,53,161,75,38,5,0
48,51,159,77,40,5,0
46,48,151,82,42,5,0
43,47,147,83,42,5,0
43,47,144,85,44,5,0
41,45,137,91,46,5,1.5
39,43,146,89,46,5,1.5
39,43,159,87,48,5,1.5
37,42,169,85,47,5,1.5
35,43,178,84,48,5,1.5
35,43,185,82,50,5,1.5
33,41,193,82,50,5,1.5
33,43,211,78,50,5,1.5
33,43,209,77,52,5,1.5
33,43,211,75,52,5,1.5
33,45,211,73,52,5,1.5
32,45,208,71,52,5,1.5
33,47,211,70,52,5,1.5
33,47,213,68,52,5,1.5
33,51,213,66,50,5,1.5
33,52,215,64,50,5,1.5
35,55,215,62,50,5,1.5
35,59,215,60,48,5,1.5
37,63,213,56,48,5,1.5
37,67,215,54,48,5,0
39,69,209,54,46,5,0
39,71,205,52,45,5,0
41,73,199,52,45,5,0
41,73,195,49,42,5,0
43,75,189,48,42,5,0
43,75,185,48,41,5,0
44,77,180,46,41,5,0
46,77,175,46,38,5,0
46,77,169,43,38,5,0
49,77,165,42,36,5,0
49,77,159,42,36,5,0
50,77,155,39,34,5,0
50,77,149,39,34,5,0
50,79,145,37,32,5,0
53,80,139,36,32,5,0
53,80,136,36,30,5,0
53,79,130,48,30,0,0
