32,53,298,81,60,W
38,53,298,81,60,W
38,53,298,81,58,W
38,53,298,78,58,W
38,53,298,70,58,W
38,53,298,64,58,W
38,45,298,64,58,W
38,43,298,64,58,W+A
39,43,297,60,58,W+A
39,39,297,58,58,W+A
39,43,238,53,56,W+A
39,47,187,52,56,W+A
35,53,159,48,57,W
31,57,151,46,54,W
31,59,147,44,52,W
32,61,144,44,40,W
35,65,135,42,38,W
35,67,131,40,36,W
37,69,127,40,36,W
37,71,123,38,34,W
39,77,116,36,32,W
41,79,114,34,32,W
41,85,109,34,30,W
43,91,101,32,29,W+D
43,86,111,30,26,W+D
43,79,127,31,26,W+D
45,75,174,32,26,W+D
45,71,229,34,26,W+D
44,67,264,34,26,W
44,67,258,34,26,W
44,67,254,34,26,W
44,67,248,34,26,W
44,67,244,34,26,W
46,67,238,34,26,W
46,67,234,34,26,W
48,67,234,34,26,W
48,70,228,34,26,W
48,70,224,34,26,W
48,70,218,34,26,W
48,70,214,31,26,W
48,70,208,31,26,W
48,70,204,30,26,W
48,70,198,30,26,W
48,70,194,30,24,W+D
49,67,239,30,24,W+D
47,63,297,31,24,W+D
47,61,297,36,24,W+D
49,57,297,39,24,W+D
47,53,297,45,24,W+D
47,51,295,51,26,W
45,49,289,55,28,W
45,46,285,57,30,W
43,46,279,62,32,W
41,44,275,64,32,W
40,43,269,69,34,W
37,44,265,67,34,W
36,43,259,72,36,W
33,41,253,72,38,W
33,43,249,72,40,W
31,41,243,75,41,W
31,39,239,72,43,W
31,41,233,75,46,W
31,39,229,77,46,W
29,37,223,80,48,W
31,39,221,77,50,W
29,37,213,77,50,W
29,43,211,77,50,W
29,46,203,75,52,W
27,51,197,77,52,W
29,55,195,77,52,W
27,57,187,73,52,W+A
29,57,221,69,52,W+A
31,60,269,65,51,W+A
37,65,297,62,52,W+A
41,69,297,58,52,W
43,69,297,58,54,W
47,69,297,58,52,W
45,69,297,56,52,W
47,69,297,56,50,W
47,66,297,58,50,W
47,66,297,58,46,W
47,65,297,59,46,W
49,65,297,58,46,W
49,65,297,58,42,W
49,63,297,56,42,W
49,63,297,56,40,W
49,61,297,56,42,W
47,61,297,56,42,W
47,59,297,58,42,W
45,57,297,59,40,W
45,57,297,62,40,W
43,55,297,62,40,W
43,55,297,62,40,W+A
43,57,297,60,42,W+A
42,59,298,58,42,W+A
43,65,297,54,40,W+A
43,69,297,52,40,W
45,69,297,49,40,W
45,71,297,48,38,W
47,73,297,48,38,W
47,75,297,45,36,W
47,75,295,45,36,W
49,77,291,44,36,W
49,77,285,44,36,W
49,77,281,44,34,W
49,77,275,44,34,W
51,79,271,42,34,W
51,81,265,40,32,W
51,81,261,40,32,W
53,83,255,40,32,W
53,83,251,40,32,W
53,85,245,37,30,W
53,85,241,37,30,W
55,85,235,37,30,W
55,85,231,37,30,W
55,87,225,35,28,W
55,87,221,35,28,W
57,88,215,34,28,W
57,88,211,34,28,W
57,91,205,34,26,W
57,88,201,34,26,W
59,91,197,32,26,W
59,91,191,32,26,W
59,91,187,30,24,W
59,91,182,30,24,W
61,91,176,30,24,W
61,91,171,30,24,W
61,91,165,27,22,W
63,91,161,26,22,W
63,88,155,26,22,W
63,88,151,26,20,W
63,87,145,26,20,W
65,88,141,24,20,W
63,88,135,24,20,W
65,88,131,22,18,W+A
63,87,133,21,18,W+A
65,85,151,21,18,W+A
67,83,183,32,16,W+A
67,81,202,34,14,W+A
69,83,217,32,13,W+A
71,83,223,34,16,W+A
75,82,223,32,17,W+A
73,81,225,33,18,W+A
73,81,228,36,18,W+A
71,80,230,38,18,W+A
69,81,235,38,20,W
69,79,229,38,20,W
69,79,225,40,20,W
69,79,221,42,22,W
69,79,215,44,24,W
66,83,210,46,27,W
66,85,206,46,27,W
65,87,199,46,28,W
63,87,196,46,30,W
61,87,189,46,32,W
59,89,186,46,32,W
57,93,181,44,32,W
57,95,175,44,34,W
55,95,169,42,32,W
55,95,166,40,34,W
57,95,159,40,34,W
57,95,156,38,32,W
59,95,149,38,32,W
59,95,145,36,32,W
61,93,139,36,30,W
61,93,135,34,28,W
61,91,130,32,27,W
63,91,125,32,27,W
65,87,120,30,27,W+A
65,89,120,28,26,W+A
69,86,122,26,24,W+A
69,83,120,22,22,W+A
73,79,118,124,20,W+A
73,78,118,122,18,A
73,77,123,50,18,A
73,79,138,44,20,A
75,80,134,37,19,W
75,78,130,44,17,W
77,75,124,44,12,W
75,73,119,112,17,W
75,71,116,108,22,W
72,69,110,103,26,W
71,67,106,98,28,W
67,63,100,94,30,W
64,61,96,90,32,W
63,60,90,84,176,W
61,57,86,80,166,W
57,53,80,74,156,W
55,51,76,70,147,W
53,49,70,66,136,A
51,51,68,66,151,A
51,51,66,68,172,A
49,51,66,70,198,A
49,51,64,72,252,A
49,51,64,75,298,A
47,52,62,76,298,A
47,53,62,81,298,A
47,54,62,84,298,A
48,55,62,89,298,A
47,58,62,92,134,A
47,62,62,98,68,A
47,66,62,105,46,A
49,74,64,114,40,A
49,72,64,124,42,A
49,70,66,136,41,A
51,68,66,151,44,W
51,64,62,142,40,W
49,57,57,128,45,W
49,52,52,116,60,W
51,47,48,106,70,W
51,42,43,94,84,A
51,42,42,108,74,A
54,40,44,124,67,A
55,40,44,148,60,A
57,40,46,184,55,A
60,40,48,298,52,A
62,40,50,298,48,A
58,40,52,298,46,A
54,40,55,298,44,A
51,40,58,298,46,A
49,40,63,260,49,A
48,40,66,192,53,A
46,41,70,146,57,A
44,40,78,116,61,A
44,41,84,98,64,A
42,43,94,84,68,A
42,42,108,74,252,A
40,44,124,67,227,A
40,44,148,60,195,W
40,44,145,62,211,W
38,42,140,64,67,W
36,40,132,68,61,W
36,40,128,70,47,W
33,38,124,72,37,W
32,36,117,76,39,W
32,34,114,78,41,W
29,34,110,80,41,W
28,32,102,84,43,W
26,30,98,86,45,W
26,28,94,88,45,W
24,28,90,90,47,W
22,26,82,94,49,W
22,24,78,96,49,W
20,22,74,98,51,W+A
20,22,89,92,51,W+A
18,22,116,88,51,W+A
18,22,298,84,53,W+A
18,22,298,77,53,W+A
18,24,298,74,52,W+A
18,24,298,70,53,W
18,26,298,70,51,W
18,26,296,70,51,W
18,26,292,70,51,W
18,26,286,70,51,W
20,28,282,67,51,W
20,28,276,67,51,W
20,28,272,67,51,W
20,28,266,67,51,W
20,31,262,66,49,W
20,31,256,66,49,W
20,31,252,66,49,W
22,31,246,66,49,W
22,32,242,66,49,W
22,32,236,66,49,W
22,32,232,66,49,W
22,36,226,63,47,W
24,36,222,63,47,W
24,38,216,63,47,W
24,38,212,63,47,W
26,40,206,60,47,W
26,40,202,60,47,W
26,43,196,60,47,W
28,43,192,58,47,W
28,46,186,58,45,W
28,46,182,58,45,W+D
28,45,176,58,46,W+D
28,43,180,60,45,W+D
28,38,184,66,45,W+D
28,38,188,70,45,W+D
28,36,188,74,47,W
26,34,184,76,47,W
26,34,179,76,47,W
26,36,174,78,47,W
24,34,168,76,49,W
26,36,164,76,49,W
24,36,158,78,51,W
26,40,154,74,51,W
26,38,148,76,51,W
24,36,144,76,53,W
26,40,140,72,51,W
26,38,134,72,53,W
28,44,128,74,53,W
28,42,124,70,53,W
26,49,118,72,55,W
28,224,114,72,53,W
28,220,108,66,53,W+D
28,224,110,70,53,W+D
32,230,108,72,55,W+D
30,232,108,69,53,W+D
28,232,105,72,55,W+D
32,238,106,68,57,W+D
32,244,104,70,55,W+D
30,250,102,64,59,W+D
31,254,102,66,57,W+D
35,260,104,66,59,W+D
34,84,104,64,58,W+D
30,80,104,64,55,W+D
33,76,106,62,60,W+D
35,72,108,62,53,W+D
33,68,110,58,56,W+D
31,66,114,60,54,W+D
33,62,120,59,52,W+D
36,58,124,56,52,W+D
32,54,132,57,50,W+D
33,50,135,58,49,W+D
33,47,144,58,48,W+D
33,44,148,58,48,W+D
29,43,152,60,47,W+D
31,41,157,60,46,W+D
31,40,162,63,48,W+D
31,38,168,64,48,W+D
28,34,172,69,48,W+D
29,31,178,72,48,W+D
27,29,192,78,50,W
25,29,178,78,50,W
23,29,172,78,50,W
23,29,168,78,50,W
21,34,162,76,52,W
21,34,158,74,52,W
21,37,162,76,52,W
21,37,148,74,52,W
21,44,152,72,54,W
23,44,138,72,54,W
23,51,142,72,54,W
25,58,138,68,56,W+D
25,55,134,73,54,W+D
25,54,137,69,56,W+D
28,49,140,70,57,W+D
29,55,143,76,56,W+D
27,51,142,70,58,W+D
25,49,144,75,56,W+D
31,45,144,79,60,W+D
29,41,142,74,58,W+D
27,37,142,78,62,W+D
27,43,141,84,60,W+D
29,39,142,88,59,W+D
26,37,144,84,64,W+D
25,34,137,88,60,W+D
26,29,140,92,64,W+D
27,109,130,88,68,W
21,105,124,90,66,W
25,101,120,88,66,W
21,97,113,84,71,W
21,93,110,86,66,W
123,89,103,82,71,W
120,87,99,78,71,W
115,83,94,76,66,W
109,79,89,72,71,W
105,75,83,70,68,W
101,71,80,66,66,W
95,67,73,64,68,W
93,63,70,60,64,W
87,59,63,56,66,W+D
87,55,63,54,63,W+D
86,50,59,51,60,D
91,51,57,52,58,D
97,53,55,54,58,D
109,53,53,54,56,D
115,55,53,56,54,D
129,57,53,58,54,D
245,57,51,58,52,D
241,59,51,55,52,D
239,61,51,56,52,D
237,65,51,58,52,D
229,67,51,60,52,D
222,70,50,58,52,D
213,75,51,55,52,D
205,77,51,56,52,D
179,83,51,57,52,D
149,86,50,59,51,D
119,91,51,57,52,D
102,97,53,55,54,D
88,109,53,53,54,D
69,115,55,53,56,D
57,129,57,53,58,D
57,245,57,51,58,D
59,241,59,51,55,D
249,239,61,51,56,D
237,237,65,51,58,D
223,229,67,51,60,D
