46,65,298,95,78,830.0,920.0,0,0.9878836433496463,-0.15519634330160223,1.0
47,71,297,89,76,831.7975331625582,919.9057952787628,3.0,0.9779329324836117,-0.2089190702691814,1.0
47,75,297,86,76,833.5876725742211,919.717644044881,6.0,0.9739502729982714,-0.22676168945003058,1.0
45,79,297,82,76,835.3655115872923,919.4360620078086,9.0,0.9704415428716912,-0.24133629967923514,1.0
46,89,263,80,78,837.1261772686131,919.0618209643366,12.0,0.9698180625944418,-0.24382970131465345,1.0
49,97,217,78,78,838.867736591324,918.6068801709594,14.64,0.9728976884605991,-0.23123599559725386,1.0
49,99,213,76,76,843.7100006645384,917.3608951609142,14.430000000000001,0.9796924117455108,-0.20050629975241874,1.0
51,97,232,76,74,845.8539597846689,916.8674994868255,12.96,0.9822325212750335,-0.1876679847771203,1.0
49,93,259,76,74,848.0107837581157,916.4337825888786,11.370000000000001,0.9826289942881827,-0.1855808653502784,1.0
51,92,262,76,72,852.9182524302829,915.4763113194934,11.040000000000001,0.9871770068202953,-0.15962943018904885,1.0
51,93,273,74,68,857.8368955750306,914.5780075765275,10.350000000000001,0.9920372469502128,-0.12594482300241022,1.0
51,89,297,75,66,859.6178601579627,914.3169230033687,8.340000000000002,0.9933983130843536,-0.11471612542858238,1.0
51,87,297,76,66,861.800367828147,914.040047093282,7.230000000000001,0.9949450017600555,-0.10042132160616851,1.0
53,87,297,74,64,866.7647808509961,913.4445612928077,6.840000000000002,0.9967508226238082,-0.08054685567638606,1.0
53,85,297,76,64,868.9551252778798,913.2386698368915,5.370000000000002,0.9969786468851249,-0.07767609448894242,1.0
55,85,297,76,64,873.9371487061028,912.8150632261811,4.860000000000002,0.9980102547090111,-0.06305180009799209,1.0
55,83,297,75,62,878.9246626881842,912.4619282965252,4.0500000000000025,0.9988525685642894,-0.04789096232551509,1.0
55,83,297,75,62,883.9169636318552,912.1845633964003,3.1800000000000024,0.9997979503759441,-0.020101163759287038,1.0
55,85,297,75,60,888.9129005097388,911.983032475195,2.3100000000000023,0.9999997366432251,-0.0007242828941377276,1.0
55,81,297,76,60,891.1127545508699,911.9576908549004,0.6600000000000021,0.9999467736819958,0.010317371928424563,1.0
55,83,297,75,60,896.112720966837,911.9393649387852,0.21000000000000207,0.9998254122360053,0.018685379518572933,1.0
55,81,297,78,58,898.3124121651059,911.9762245678969,-0.9599999999999979,0.9998173826076951,0.019110191927139968,1.0
55,79,297,77,60,903.3112600701168,912.0835540725491,-1.2299999999999978,0.999924298718639,0.012304260726187219,1.0
55,79,297,78,60,908.3105582480007,912.1673259568939,-0.9599999999999977,0.9999478756046202,0.010209998716999506,1.0
55,79,297,76,58,913.3104040362247,912.2065954613375,-0.44999999999999774,0.9998886595915973,0.01492201126232622,1.0
55,79,297,76,58,918.3100092572438,912.2694256607543,-0.7199999999999976,0.9998807093825556,0.015445549670822921,1.0
55,79,297,78,58,923.3092628869806,912.3558151599011,-0.9899999999999975,0.9998724850505442,0.015969083844846032,1.0
55,79,297,76,58,928.3087995710407,912.4238808982549,-0.7799999999999975,0.9997406246728655,0.02277457746454594,1.0
